ID,TRL2,TRVHR,time
813634,4.5,26,26.02
813636,4.5,26,26.00
813695,4.5,26,26.60
813696,4.5,26,26.45
813697,4.5,26,26.13
813698,4.5,26,26.07
813699,4.5,26,26.07
814439,4.5,26,26.25
814441,4.5,26,26.33
814442,4.5,26,26.27
814445,4.5,26,26.25
814446,4.5,26,26.35
814448,4.5,26,26.32
814449,4.5,26,26.15
814450,4.5,26,26.35
814452,4.5,26,26.33
814453,4.5,26,26.32
814454,4.5,26,26.35
814455,4.5,26,26.33
814456,4.5,26,26.10
814564,4.5,26,26.03
814565,4.5,26,26.12
814566,4.5,26,26.10
814567,4.5,26,26.08
814568,4.5,26,26.12
814569,4.5,26,26.10
814570,4.5,26,26.10
814572,4.5,26,26.62
814573,4.5,26,26.57
814574,4.5,26,26.48
814575,4.5,26,26.60
814576,4.5,26,26.53
814577,4.5,26,26.53
814578,4.5,26,26.53
814591,4.5,26,26.10
814593,4.5,26,26.12
815238,4.5,26,26.42
815239,4.5,26,26.40
815240,4.5,26,26.35
815241,4.5,26,26.35
815242,4.5,26,26.42
815243,4.5,26,26.42
815244,4.5,26,26.37
815245,4.5,26,26.43
815246,4.5,26,26.42
815247,4.5,26,26.35
815248,4.5,26,26.37
815249,4.5,26,26.40
815250,4.5,26,26.37
815251,4.5,26,26.32
815432,4.5,26,26.38
815433,4.5,26,26.17
815434,4.5,26,26.15
815435,4.5,26,26.13
815436,4.5,26,26.15
815437,4.5,26,26.15
815438,4.5,26,26.37
815439,4.5,26,26.37
815441,4.5,26,26.13
815540,4.5,26,26.57
815553,4.5,26,26.00
815554,4.5,26,26.45
815555,4.5,26,26.47
815557,4.5,26,26.45
815558,4.5,26,26.45
815559,4.5,26,26.45
815560,4.5,26,26.47
815561,4.5,26,26.45
817296,4.5,26,26.20
817297,4.5,26,26.32
817299,4.5,26,26.27
817300,4.5,26,26.32
817526,4.5,26,26.27
817528,4.5,26,26.35
817603,4.5,26,26.30
817604,4.5,26,26.28
817606,4.5,26,26.35
819147,4.5,26,26.40
819148,4.5,26,26.40
819149,4.5,26,26.40
819150,4.5,26,26.42
819151,4.5,26,26.43
819152,4.5,26,26.43
819153,4.5,26,26.40
819154,4.5,26,26.42
819155,4.5,26,26.42
819156,4.5,26,26.37
819157,4.5,26,26.42
819252,4.5,26,26.17
819253,4.5,26,26.17
819254,4.5,26,26.15
819255,4.5,26,26.17
819256,4.5,26,26.17
819257,4.5,26,26.15
819274,4.5,26,26.05
819338,4.5,26,26.58
819339,4.5,26,26.47
819340,4.5,26,26.47
819341,4.5,26,26.48
819342,4.5,26,26.62
819343,4.5,26,26.53
819344,4.5,26,26.55
819345,4.5,26,26.55
820164,4.5,26,26.17
820165,4.5,26,26.15
820166,4.5,26,26.27
820167,4.5,26,26.27
820168,4.5,26,26.27
820169,4.5,26,26.28
820170,4.5,26,26.18
820171,4.5,26,26.17
820172,4.5,26,26.20
820173,4.5,26,26.28
820174,4.5,26,26.28
820175,4.5,26,26.13
820176,4.5,26,26.18
820177,4.5,26,26.32
820178,4.5,26,26.25
820179,4.5,26,26.17
820180,4.5,26,26.20
820181,4.5,26,26.23
820183,4.5,26,26.18
820502,4.5,26,26.37
820503,4.5,26,26.32
820504,4.5,26,26.28
820505,4.5,26,26.27
820506,4.5,26,26.35
820507,4.5,26,26.30
820508,4.5,26,26.32
820509,4.5,26,26.25
820510,4.5,26,26.25
820511,4.5,26,26.35
820512,4.5,26,26.37
820513,4.5,26,26.33
820514,4.5,26,26.32
820515,4.5,26,26.25
820516,4.5,26,26.27
820517,4.5,26,26.37
820518,4.5,26,26.22
820555,4.5,26,26.07
820556,4.5,26,26.05
820721,4.5,26,26.35
820723,4.5,26,26.33
820725,4.5,26,26.32
820727,4.5,26,26.35
820730,4.5,26,26.65
820731,4.5,26,26.35
820734,4.5,26,26.37
820736,4.5,26,26.60
820737,4.5,26,26.63
820738,4.5,26,26.58
820739,4.5,26,26.63
820740,4.5,26,26.60
820741,4.5,26,26.63
820742,4.5,26,26.42
820743,4.5,26,26.62
820749,4.5,26,26.33
820751,4.5,26,26.32
820753,4.5,26,26.33
820757,4.5,26,26.13
820759,4.5,26,26.17
820760,4.5,26,26.10
835538,4.5,26,26.17
835541,4.5,26,26.18
835542,4.5,26,26.17
835543,4.5,26,26.30
835544,4.5,26,26.22
835545,4.5,26,26.28
835546,4.5,26,26.18
835548,4.5,26,26.28
835549,4.5,26,26.28
835550,4.5,26,26.15
835551,4.5,26,26.20
835552,4.5,26,26.17
835553,4.5,26,26.22
835555,4.5,26,26.23
835556,4.5,26,26.22
835557,4.5,26,26.20
835558,4.5,26,26.25
835559,4.5,26,26.23
835560,4.5,26,26.20
835561,4.5,26,26.20
835562,4.5,26,26.23
835563,4.5,26,26.27
835564,4.5,26,26.18
835565,4.5,26,26.23
835566,4.5,26,26.27
835567,4.5,26,26.27
835568,4.5,26,26.28
835569,4.5,26,26.20
835570,4.5,26,26.22
835571,4.5,26,26.25
835572,4.5,26,26.25
835613,4.5,26,26.05
835620,4.5,26,26.03
835623,4.5,26,26.05
835629,4.5,26,26.03
835632,4.5,26,26.03
835702,4.5,26,26.48
835704,4.5,26,26.53
835705,4.5,26,26.47
835708,4.5,26,26.48
835709,4.5,26,26.55
835710,4.5,26,26.48
835711,4.5,26,26.10
835712,4.5,26,26.10
835713,4.5,26,26.10
835714,4.5,26,26.05
835715,4.5,26,26.13
835717,4.5,26,26.15
835718,4.5,26,26.10
835720,4.5,26,26.08
835721,4.5,26,26.10
835722,4.5,26,26.07
839089,4.5,26,26.20
839090,4.5,26,26.00
839096,4.5,26,26.17
839099,4.5,26,26.22
839123,4.5,26,26.07
839145,4.5,26,26.02
839147,4.5,26,26.05
839148,4.5,26,26.03
839149,4.5,26,26.03
839151,4.5,26,26.05
839204,4.5,26,26.52
839207,4.5,26,26.55
839208,4.5,26,26.62
839209,4.5,26,26.58
839211,4.5,26,26.63
839212,4.5,26,26.53
839213,4.5,26,26.65
839214,4.5,26,26.53
839215,4.5,26,26.45
839216,4.5,26,26.43
839217,4.5,26,26.45
839218,4.5,26,26.47
839219,4.5,26,26.00
839220,4.5,26,26.08
839226,4.5,26,26.07
839228,4.5,26,26.07
839231,4.5,26,26.07
839235,4.5,26,26.02
839236,4.5,26,26.03
