ID,EID,BIRTH,sex,BREED,BRTHW,SERUM,SORCE,TRL2
809702,USA003306516212 ,7/17/2025,F     ,D     ,67,0,LOD   ,4.5
809703,USA003306516164 ,7/17/2025,F     ,D     ,84,0,LOD   ,4.5
809704,USA003306516280 ,7/18/2025,F     ,D     ,74,0,LOD   ,4.5
809705,USA003306515943 ,7/18/2025,F     ,D     ,72,0,LOD   ,4.5
809706,USA003306515957 ,7/18/2025,F     ,D     ,64,0,LOD   ,4.5
809707,USA003306516118 ,7/18/2025,F     ,D     ,75,0,LOD   ,4.5
809708,USA003306516327 ,7/18/2025,F     ,D     ,79,0,LOD   ,4.5
809710,USA003306516148 ,7/18/2025,F     ,D     ,81,0,LOD   ,4.5
809711,USA003306516155 ,7/18/2025,F     ,D     ,92,0,LOD   ,4.5
809713,USA003306516116 ,7/18/2025,F     ,D     ,69,0,LOD   ,4.5
809714,USA003306516352 ,7/18/2025,F     ,D     ,78,0,LOD   ,4.5
809715,USA003306516222 ,7/18/2025,F     ,D     ,77,0,LOD   ,4.5
809716,USA003306516009 ,7/18/2025,F     ,D     ,79,0,LOD   ,4.5
809717,USA003306516140 ,7/18/2025,F     ,D     ,60,0,LOD   ,4.5
809718,USA003306516331 ,7/18/2025,F     ,D     ,93,0,LOD   ,4.5
809798,USA003306516709 ,7/24/2025,F     ,D     ,80,0,LOD   ,4.5
809799,USA003306516821 ,7/24/2025,F     ,D     ,75,0,LOD   ,4.5
809800,USA003306516715 ,7/24/2025,F     ,D     ,80,0,LOD   ,4.5
809802,USA003306516764 ,7/24/2025,F     ,D     ,65,0,LOD   ,4.5
809803,USA003306516771 ,7/24/2025,F     ,D     ,77,0,LOD   ,4.5
809804,USA003306516685 ,7/24/2025,F     ,D     ,78,0,LOD   ,4.5
809805,USA003306516268 ,7/24/2025,F     ,D     ,79,0,LOD   ,4.5
809806,USA003306516718 ,7/24/2025,F     ,D     ,88,0,LOD   ,4.5
809807,USA003306516614 ,7/24/2025,F     ,D     ,76,0,LOD   ,4.5
