"","CalfID","sex","Breed2","stp","BRTHW","SORCE","SD","DB","diaload","diaARR","LOAD","week","transitT","PN1a","PN2a","DIA1","D30","P30","P60","D30yn","D60yn","diaex","navelex","DIA30","PNEU30","PNEU60","Nav30","N30","DED30","DED60","Remark_PNEU1","Remark_DIED1","SD_DB"
"113",796452,"F","D",0,81,"WRD",3,"D",4,5,"2025-06-23_3_D","A",25,0,0,1,1,0,0,0,0,0,0,4,30,60,30,0,30,60,NA,NA,"3_D"
"114",796453,"F","D",0,76,"WRD",3,"D",4,5,"2025-06-23_3_D","A",25,1,0,1,1,0,1,0,0,0,0,6,30,44,30,0,30,60,"RESF-6CC",NA,"3_D"
"115",796454,"F","D",0,76,"WRD",3,"D",4,5,"2025-06-23_3_D","A",25,0,0,0,0,0,0,0,0,0,0,30,30,60,30,0,30,60,NA,NA,"3_D"
"116",796455,"F","D",0,58,"WRD",3,"D",4,5,"2025-06-23_3_D","A",25,0,0,0,0,0,0,1,1,0,0,30,30,60,30,0,5,5,NA,"DIGESTIV","3_D"
"117",796456,"F","D",0,76,"WRD",3,"D",4,5,"2025-06-23_3_D","A",25.47,0,0,0,NA,0,0,0,0,1,0,NA,30,60,30,0,30,60,NA,NA,"3_D"
"118",801990,"F","D",0,51,"CLD",3,"D",4,5,"2025-06-23_3_D","A",25.48,0,0,0,0,0,0,0,0,0,0,30,30,60,30,0,30,60,NA,NA,"3_D"
"119",801991,"F","D",0,71,"CLD",3,"D",4,5,"2025-06-23_3_D","A",25,0,0,0,0,0,0,0,0,0,0,30,30,60,30,0,30,60,NA,NA,"3_D"
"120",801992,"F","D",0,67,"CLD",3,"D",4,5,"2025-06-23_3_D","A",25,0,0,0,0,0,0,0,0,0,0,30,30,60,30,0,30,60,NA,NA,"3_D"
"121",804768,"F","D",0,77,"MSD",3,"D",4,5,"2025-06-23_3_D","A",25,1,0,1,1,0,0,0,0,0,0,6,30,60,30,0,30,60,"RESF-6CC",NA,"3_D"
"122",804769,"F","D",0,68,"MSD",3,"D",4,5,"2025-06-23_3_D","A",25,0,0,0,0,0,0,0,0,0,0,30,30,60,30,0,30,60,NA,NA,"3_D"
"123",804770,"F","D",0,84,"MSD",3,"D",4,5,"2025-06-23_3_D","A",25,0,0,0,0,0,0,0,0,0,0,30,30,60,30,0,30,60,NA,NA,"3_D"
"124",804771,"F","D",0,73,"MSD",3,"D",4,5,"2025-06-23_3_D","A",25,0,0,0,0,0,0,0,0,0,0,30,30,60,30,0,30,60,NA,NA,"3_D"
"125",804772,"F","D",0,65,"MSD",3,"D",4,5,"2025-06-23_3_D","A",25,0,0,0,0,0,0,0,0,0,0,30,30,60,30,0,30,60,NA,NA,"3_D"
"126",804773,"F","D",0,86,"MSD",3,"D",4,5,"2025-06-23_3_D","A",25,0,0,0,NA,0,0,0,0,1,0,NA,30,60,30,0,30,60,NA,NA,"3_D"
"127",804774,"F","D",0,77,"MSD",3,"D",4,5,"2025-06-23_3_D","A",25,0,0,0,NA,0,0,0,0,1,0,NA,30,60,30,0,30,60,NA,NA,"3_D"
"128",804775,"F","D",0,70,"MSD",3,"D",4,5,"2025-06-23_3_D","A",25,0,0,0,0,0,0,0,0,0,0,30,30,60,30,0,30,60,NA,NA,"3_D"
"129",804776,"F","D",0,86,"MSD",3,"D",4,5,"2025-06-23_3_D","A",25,0,0,0,0,0,0,0,0,0,0,30,30,60,30,0,30,60,NA,NA,"3_D"
"130",804777,"F","D",0,58,"MSD",3,"D",4,5,"2025-06-23_3_D","A",25,0,0,0,0,0,0,0,0,0,0,30,30,60,30,0,30,60,NA,NA,"3_D"
"131",804778,"F","D",0,64,"MSD",3,"D",4,5,"2025-06-23_3_D","A",25,0,0,0,NA,0,0,0,0,1,0,NA,30,60,30,0,30,60,NA,NA,"3_D"
"132",804779,"F","D",0,88,"MSD",3,"D",4,5,"2025-06-23_3_D","A",25.4,0,0,0,0,0,0,0,0,0,0,30,30,60,30,0,30,60,NA,NA,"3_D"
"133",804780,"F","D",0,73,"MSD",3,"D",4,5,"2025-06-23_3_D","A",25,0,0,0,0,0,0,0,0,0,0,30,30,60,30,0,30,60,NA,NA,"3_D"
"134",804781,"F","D",0,78,"MSD",3,"D",4,5,"2025-06-23_3_D","A",25,0,0,0,0,0,0,0,0,0,0,30,30,60,30,0,30,60,NA,NA,"3_D"
"135",805992,"F","D",0,71,"NOD",3,"D",4,5,"2025-06-23_3_D","A",25,0,0,0,0,0,0,0,0,0,0,30,30,60,30,0,30,60,NA,NA,"3_D"
"136",805993,"F","D",0,82,"NOD",3,"D",4,5,"2025-06-23_3_D","A",25,0,0,0,0,0,0,0,0,0,0,30,30,60,30,0,30,60,NA,NA,"3_D"
"137",805994,"F","D",0,77,"NOD",3,"D",4,5,"2025-06-23_3_D","A",25,0,0,0,0,0,0,0,0,0,0,30,30,60,30,0,30,60,NA,NA,"3_D"
