"","Cow","hoursfrom","lyingm","standingm","steps","mi","transitions","Date","Time","End","Steps","Motion Index","Lying Time","Standing Time","Transitions","Transitions Up","Transitions Down","CalfID","Bdat","FOO","BRTHW","stp","Breed2","diaload","diaARR","TRT","OneLoad","DatMOC","IceCube","DatON","TimeONp","ToTCC","TimetoTCCp","Section","ArrTCC","TimeArrTCCp","TimeTrip","DatOFF","TimeOFFp","PN1a","DIA1","D30","P30","P60","datetime","datetimeon","datetimeoff","match_flag","tfship","timecat"
"33",100,25,24.8833333333333,35.1166666666667,46,261,3,2025-07-01,15:23:00,"7/1/2025 15:38",1,14,00:03:33,00:11:27,2,1,1,844309,2025-06-26,"CAD",72,0,"D",4,5,"DF4.5",1,2025-06-27,1687,2025-06-27,20:00:00,2025-06-30,13:24:00,"H",2025-07-01,15:01:00,25.6,2025-07-03,14:00:00,0,1,1,0,0,2025-07-01 15:23:00,2025-06-27 20:00:00,2025-07-03 14:00:00,0,97,"during"
"34",100,26,36.95,23.05,60,300,4,2025-07-01,16:23:00,"7/1/2025 16:38",40,195,00:00:00,00:15:00,0,0,0,844309,2025-06-26,"CAD",72,0,"D",4,5,"DF4.5",1,2025-06-27,1687,2025-06-27,20:00:00,2025-06-30,13:24:00,"H",2025-07-01,15:01:00,25.6,2025-07-03,14:00:00,0,1,1,0,0,2025-07-01 16:23:00,2025-06-27 20:00:00,2025-07-03 14:00:00,0,101,"post"
"35",100,27,51.45,8.55,7,47,2,2025-07-01,17:23:00,"7/1/2025 17:38",7,47,00:08:33,00:06:27,1,0,1,844309,2025-06-26,"CAD",72,0,"D",4,5,"DF4.5",1,2025-06-27,1687,2025-06-27,20:00:00,2025-06-30,13:24:00,"H",2025-07-01,15:01:00,25.6,2025-07-03,14:00:00,0,1,1,0,0,2025-07-01 17:23:00,2025-06-27 20:00:00,2025-07-03 14:00:00,0,105,"post"
"36",100,28,58.55,1.45,2,14,1,2025-07-01,18:23:00,"7/1/2025 18:38",2,12,00:13:33,00:01:27,1,0,1,844309,2025-06-26,"CAD",72,0,"D",4,5,"DF4.5",1,2025-06-27,1687,2025-06-27,20:00:00,2025-06-30,13:24:00,"H",2025-07-01,15:01:00,25.6,2025-07-03,14:00:00,0,1,1,0,0,2025-07-01 18:23:00,2025-06-27 20:00:00,2025-07-03 14:00:00,0,109,"post"
"37",100,29,43.5666666666667,16.4333333333333,7,42,5,2025-07-01,19:23:00,"7/1/2025 19:38",0,0,00:09:09,00:05:51,1,1,0,844309,2025-06-26,"CAD",72,0,"D",4,5,"DF4.5",1,2025-06-27,1687,2025-06-27,20:00:00,2025-06-30,13:24:00,"H",2025-07-01,15:01:00,25.6,2025-07-03,14:00:00,0,1,1,0,0,2025-07-01 19:23:00,2025-06-27 20:00:00,2025-07-03 14:00:00,0,113,"post"
"38",100,30,36.6333333333333,23.3666666666667,28,198,5,2025-07-01,20:23:00,"7/1/2025 20:38",7,64,00:03:03,00:11:57,2,1,1,844309,2025-06-26,"CAD",72,0,"D",4,5,"DF4.5",1,2025-06-27,1687,2025-06-27,20:00:00,2025-06-30,13:24:00,"H",2025-07-01,15:01:00,25.6,2025-07-03,14:00:00,0,1,1,0,0,2025-07-01 20:23:00,2025-06-27 20:00:00,2025-07-03 14:00:00,0,117,"post"
"39",100,31,53.95,6.05,49,288,4,2025-07-01,21:23:00,"7/1/2025 21:38",0,0,00:12:58,00:02:02,1,1,0,844309,2025-06-26,"CAD",72,0,"D",4,5,"DF4.5",1,2025-06-27,1687,2025-06-27,20:00:00,2025-06-30,13:24:00,"H",2025-07-01,15:01:00,25.6,2025-07-03,14:00:00,0,1,1,0,0,2025-07-01 21:23:00,2025-06-27 20:00:00,2025-07-03 14:00:00,0,121,"post"
"40",100,35,60,0,0,6,0,2025-07-02,01:23:00,"7/2/2025 1:38",0,0,00:15:00,00:00:00,0,0,0,844309,2025-06-26,"CAD",72,0,"D",4,5,"DF4.5",1,2025-06-27,1687,2025-06-27,20:00:00,2025-06-30,13:24:00,"H",2025-07-01,15:01:00,25.6,2025-07-03,14:00:00,0,1,1,0,0,2025-07-02 01:23:00,2025-06-27 20:00:00,2025-07-03 14:00:00,0,137,"post"
"41",100,37,54.4,5.6,1,4,2,2025-07-02,03:23:00,"7/2/2025 3:38",0,0,00:15:00,00:00:00,0,0,0,844309,2025-06-26,"CAD",72,0,"D",4,5,"DF4.5",1,2025-06-27,1687,2025-06-27,20:00:00,2025-06-30,13:24:00,"H",2025-07-01,15:01:00,25.6,2025-07-03,14:00:00,0,1,1,0,0,2025-07-02 03:23:00,2025-06-27 20:00:00,2025-07-03 14:00:00,0,145,"post"
"42",100,38,55.5,4.5,2,16,2,2025-07-02,06:07:00,"7/2/2025 6:22",0,1,00:10:30,00:04:30,2,1,1,844309,2025-06-26,"CAD",72,0,"D",4,5,"DF4.5",1,2025-06-27,1687,2025-06-27,20:00:00,2025-06-30,13:24:00,"H",2025-07-01,15:01:00,25.6,2025-07-03,14:00:00,0,1,1,0,0,2025-07-02 06:07:00,2025-06-27 20:00:00,2025-07-03 14:00:00,0,149,"post"
"43",101,-12,50.1333333333333,9.86666666666667,13,72,2,2025-06-30,01:00:00,"6/30/2025 1:15",0,1,00:15:00,00:00:00,0,0,0,812052,2025-06-26,"CLD",91,0,"D",4,5,"DF4.5",1,2025-06-27,1714,2025-06-27,20:00:00,2025-06-30,13:05:00,"C",2025-07-01,15:14:00,26.2,2025-07-03,14:00:00,0,1,1,0,0,2025-06-30 01:00:00,2025-06-27 20:00:00,2025-07-03 14:00:00,0,-48,"pre"
"44",101,-11,54.35,5.65,10,51,2,2025-06-30,02:00:00,"6/30/2025 2:15",0,0,00:15:00,00:00:00,0,0,0,812052,2025-06-26,"CLD",91,0,"D",4,5,"DF4.5",1,2025-06-27,1714,2025-06-27,20:00:00,2025-06-30,13:05:00,"C",2025-07-01,15:14:00,26.2,2025-07-03,14:00:00,0,1,1,0,0,2025-06-30 02:00:00,2025-06-27 20:00:00,2025-07-03 14:00:00,0,-44,"pre"
"45",101,-10,50.9833333333333,9.01666666666667,9,71,2,2025-06-30,03:00:00,"6/30/2025 3:15",0,0,00:15:00,00:00:00,0,0,0,812052,2025-06-26,"CLD",91,0,"D",4,5,"DF4.5",1,2025-06-27,1714,2025-06-27,20:00:00,2025-06-30,13:05:00,"C",2025-07-01,15:14:00,26.2,2025-07-03,14:00:00,0,1,1,0,0,2025-06-30 03:00:00,2025-06-27 20:00:00,2025-07-03 14:00:00,0,-40,"pre"
"46",101,-9,47.75,12.25,7,51,2,2025-06-30,04:00:00,"6/30/2025 4:15",0,0,00:15:00,00:00:00,0,0,0,812052,2025-06-26,"CLD",91,0,"D",4,5,"DF4.5",1,2025-06-27,1714,2025-06-27,20:00:00,2025-06-30,13:05:00,"C",2025-07-01,15:14:00,26.2,2025-07-03,14:00:00,0,1,1,0,0,2025-06-30 04:00:00,2025-06-27 20:00:00,2025-07-03 14:00:00,0,-36,"pre"
"47",101,-8,60,0,0,0,0,2025-06-30,05:00:00,"6/30/2025 5:15",0,0,00:15:00,00:00:00,0,0,0,812052,2025-06-26,"CLD",91,0,"D",4,5,"DF4.5",1,2025-06-27,1714,2025-06-27,20:00:00,2025-06-30,13:05:00,"C",2025-07-01,15:14:00,26.2,2025-07-03,14:00:00,0,1,1,0,0,2025-06-30 05:00:00,2025-06-27 20:00:00,2025-07-03 14:00:00,0,-32,"pre"
"48",101,-7,53.1666666666667,6.83333333333333,6,43,2,2025-06-30,06:00:00,"6/30/2025 6:15",0,0,00:15:00,00:00:00,0,0,0,812052,2025-06-26,"CLD",91,0,"D",4,5,"DF4.5",1,2025-06-27,1714,2025-06-27,20:00:00,2025-06-30,13:05:00,"C",2025-07-01,15:14:00,26.2,2025-07-03,14:00:00,0,1,1,0,0,2025-06-30 06:00:00,2025-06-27 20:00:00,2025-07-03 14:00:00,0,-28,"pre"
"49",101,-6,60,0,0,5,0,2025-06-30,07:00:00,"6/30/2025 7:15",0,1,00:15:00,00:00:00,0,0,0,812052,2025-06-26,"CLD",91,0,"D",4,5,"DF4.5",1,2025-06-27,1714,2025-06-27,20:00:00,2025-06-30,13:05:00,"C",2025-07-01,15:14:00,26.2,2025-07-03,14:00:00,0,1,1,0,0,2025-06-30 07:00:00,2025-06-27 20:00:00,2025-07-03 14:00:00,0,-24,"pre"
"50",101,-5,60,0,0,0,0,2025-06-30,08:00:00,"6/30/2025 8:15",0,0,00:15:00,00:00:00,0,0,0,812052,2025-06-26,"CLD",91,0,"D",4,5,"DF4.5",1,2025-06-27,1714,2025-06-27,20:00:00,2025-06-30,13:05:00,"C",2025-07-01,15:14:00,26.2,2025-07-03,14:00:00,0,1,1,0,0,2025-06-30 08:00:00,2025-06-27 20:00:00,2025-07-03 14:00:00,0,-20,"pre"
"51",101,-4,27.1666666666667,32.8333333333333,24,146,4,2025-06-30,09:00:00,"6/30/2025 9:15",2,10,00:11:25,00:03:35,1,1,0,812052,2025-06-26,"CLD",91,0,"D",4,5,"DF4.5",1,2025-06-27,1714,2025-06-27,20:00:00,2025-06-30,13:05:00,"C",2025-07-01,15:14:00,26.2,2025-07-03,14:00:00,0,1,1,0,0,2025-06-30 09:00:00,2025-06-27 20:00:00,2025-07-03 14:00:00,0,-16,"pre"
"52",101,-3,28.5666666666667,31.4333333333333,34,212,1,2025-06-30,10:00:00,"6/30/2025 10:15",0,0,00:15:00,00:00:00,0,0,0,812052,2025-06-26,"CLD",91,0,"D",4,5,"DF4.5",1,2025-06-27,1714,2025-06-27,20:00:00,2025-06-30,13:05:00,"C",2025-07-01,15:14:00,26.2,2025-07-03,14:00:00,0,1,1,0,0,2025-06-30 10:00:00,2025-06-27 20:00:00,2025-07-03 14:00:00,0,-12,"pre"
"53",101,-2,53.2166666666667,6.78333333333333,10,57,3,2025-06-30,11:00:00,"6/30/2025 11:15",5,22,00:12:01,00:02:59,1,0,1,812052,2025-06-26,"CLD",91,0,"D",4,5,"DF4.5",1,2025-06-27,1714,2025-06-27,20:00:00,2025-06-30,13:05:00,"C",2025-07-01,15:14:00,26.2,2025-07-03,14:00:00,0,1,1,0,0,2025-06-30 11:00:00,2025-06-27 20:00:00,2025-07-03 14:00:00,0,-8,"pre"
"54",101,-1,60,0,0,7,0,2025-06-30,12:00:00,"6/30/2025 12:15",0,2,00:15:00,00:00:00,0,0,0,812052,2025-06-26,"CLD",91,0,"D",4,5,"DF4.5",1,2025-06-27,1714,2025-06-27,20:00:00,2025-06-30,13:05:00,"C",2025-07-01,15:14:00,26.2,2025-07-03,14:00:00,0,1,1,0,0,2025-06-30 12:00:00,2025-06-27 20:00:00,2025-07-03 14:00:00,0,-4,"pre"
"55",101,0,4.9,10.1,73,354,1,2025-06-30,13:00:00,"6/30/2025 13:15",73,354,00:04:54,00:10:06,1,1,0,812052,2025-06-26,"CLD",91,0,"D",4,5,"DF4.5",1,2025-06-27,1714,2025-06-27,20:00:00,2025-06-30,13:05:00,"C",2025-07-01,15:14:00,26.2,2025-07-03,14:00:00,0,1,1,0,0,2025-06-30 13:00:00,2025-06-27 20:00:00,2025-07-03 14:00:00,1,0,"during"
