Cow,CalfID,Bdat,FOO,DatMOC,IceCube,DatON,TimeON,TimeONp,TRT,ToTCC,TimetoTCC,TimetoTCCp,Section,ArrTCC,TimeArrTCC,TimeArrTCCp,TimeTrip,DatOFF,TimeOFF,TimeOFFp
158,820179,6/26/25,WSD   , 6/27/25 ,7707,6/27/25,15:00,20:00,DF4.5,6/30/25,8:05,13:05,C ,7/1/25,10:15,15:15,26.2,7/3/25,9:00,14:00
159,820182,6/27/25,WSD   , 6/27/25 ,7720,6/27/25,15:00,20:00,DF4.5,6/30/25,8:08,13:08,F ,7/1/25,10:05,15:05,26.0,7/3/25,9:00,14:00
160,820177,6/26/25,WSD   , 6/27/25 ,7724,6/27/25,15:00,20:00,DF4.5,6/30/25,7:59,12:59,B ,7/1/25,10:18,15:18,26.3,7/3/25,9:00,14:00
161,682109,6/26/25,NOD   , 6/27/25 ,7725,6/27/25,15:00,20:00,DF4.5,6/30/25,8:12,13:12,G ,7/1/25,10:06,15:06,25.9,7/3/25,9:00,14:00
162,814182,6/26/25,WAD   , 6/27/25 ,7726,6/27/25,15:00,20:00,DF4.5,6/30/25,8:21,13:21,G ,7/1/25,10:02,15:02,25.7,7/3/25,9:00,14:00
163,817299,6/26/25,GAD   , 6/27/25 ,7728,6/27/25,15:00,20:00,DF4.5,6/30/25,8:01,13:01,B ,7/1/25,10:17,15:17,26.3,7/3/25,9:00,14:00
164,820180,6/26/25,WSD   , 6/27/25 ,7731,6/27/25,15:00,20:00,DF4.5,6/30/25,8:03,13:03,C ,7/1/25,10:15,15:15,26.2,7/3/25,9:00,14:00
165,820167,6/26/25,WSD   , 6/27/25 ,7732,6/27/25,15:00,20:00,DF4.5,6/30/25,8:01,13:01,B ,7/1/25,10:17,15:17,26.3,7/3/25,9:00,14:00
166,817300,6/26/25,GAD   , 6/27/25 ,7733,6/27/25,15:00,20:00,DF4.5,6/30/25,7:59,12:59,B ,7/1/25,10:18,15:18,26.3,7/3/25,9:00,14:00
167,676488, 6/26/25 ,WRD   , 6/27/25 ,1688,6/27/25,15:00,20:00,DF3.0 ,7/1/25,7:40,12:40,C,7/2/25,9:30,14:30,25.8,7/3/25,9:00,14:00
168,809400, 6/26/25 ,LOD   , 6/27/25 ,1728,6/27/25,15:00,20:00,DF3.0 ,7/1/25,7:37,12:37,B,7/2/25,9:30,14:30,25.9,7/3/25,9:00,14:00
169,819145, 6/26/25 ,D45   , 6/27/25 ,1734,6/27/25,15:00,20:00,DF3.0 ,7/1/25,7:41,12:41,C,7/2/25,9:30,14:30,25.8,7/3/25,9:00,14:00
170,815234, 6/26/25 ,RVD   , 6/27/25 ,1759,6/27/25,15:00,20:00,DF3.0 ,7/1/25,7:42,12:42,C,7/2/25,9:30,14:30,25.8,7/3/25,9:00,14:00
171,815237, 6/26/25 ,RVD   , 6/27/25 ,1797,6/27/25,15:00,20:00,DF3.0 ,7/1/25,7:43,12:43,D,7/2/25,9:30,14:30,25.8,7/3/25,9:00,14:00
172,804855, 6/26/25 ,MSD   , 6/27/25 ,1798,6/27/25,15:00,20:00,DF3.0 ,7/1/25,7:37,12:37,B,7/2/25,9:30,14:30,25.9,7/3/25,9:00,14:00
173,815228, 6/26/25 ,RVD   , 6/27/25 ,1819,6/27/25,15:00,20:00,DF3.0 ,7/1/25,7:42,12:42,D,7/2/25,9:30,14:30,25.8,7/3/25,9:00,14:00
174,815226, 6/26/25 ,RVD   , 6/27/25 ,1824,6/27/25,15:00,20:00,DF3.0 ,7/1/25,7:43,12:43,D,7/2/25,9:30,14:30,25.8,7/3/25,9:00,14:00
175,804850, 6/26/25 ,MSD   , 6/27/25 ,1840,6/27/25,15:00,20:00,DF3.0 ,7/1/25,7:37,12:37,B,7/2/25,9:30,14:30,25.9,7/3/25,9:00,14:00
176,819143, 6/26/25 ,D45   , 6/27/25 ,1841,6/27/25,15:00,20:00,DF3.0 ,7/1/25,7:41,12:41,C,7/2/25,9:30,14:30,25.8,7/3/25,9:00,14:00
177,804846, 6/26/25 ,MSD   , 6/27/25 ,1846,6/27/25,15:00,20:00,DF3.0 ,7/1/25,7:38,12:38,C,7/2/25,9:30,14:30,25.9,7/3/25,9:00,14:00
178,815231, 6/26/25 ,RVD   , 6/27/25 ,1853,6/27/25,15:00,20:00,DF3.0 ,7/1/25,7:42,12:42,C,7/2/25,9:30,14:30,25.8,7/3/25,9:00,14:00
179,819141, 6/26/25 ,D45   , 6/27/25 ,7534,6/27/25,15:00,20:00,DF3.0 ,7/1/25,7:39,12:39,C,7/2/25,9:30,14:30,25.9,7/3/25,9:00,14:00
180,813349, 6/26/25 ,SWD   , 6/27/25 ,7615,6/27/25,15:00,20:00,DF3.0 ,7/1/25,7:36,12:36,B,7/2/25,9:30,14:30,25.9,7/3/25,9:00,14:00
181,819146, 6/26/25 ,D45   , 6/27/25 ,7639,6/27/25,15:00,20:00,DF3.0 ,7/1/25,7:41,12:41,C,7/2/25,9:30,14:30,25.8,7/3/25,9:00,14:00
182,815236, 6/26/25 ,RVD   , 6/27/25 ,7641,6/27/25,15:00,20:00,DF3.0 ,7/1/25,7:42,12:42,C,7/2/25,9:30,14:30,25.8,7/3/25,9:00,14:00
183,809402, 6/26/25 ,LOD   , 6/27/25 ,7642,6/27/25,15:00,20:00,DF3.0 ,7/1/25,7:38,12:38,B,7/2/25,9:30,14:30,25.9,7/3/25,9:00,14:00
184,786791, 6/26/25 ,DUB   , 6/27/25 ,7667,6/27/25,15:00,20:00,DF3.0 ,7/1/25,7:38,12:38,B,7/2/25,9:30,14:30,25.9,7/3/25,9:00,14:00
185,804852, 6/26/25 ,MSD   , 6/27/25 ,7669,6/27/25,15:00,20:00,DF3.0 ,7/1/25,7:39,12:39,C,7/2/25,9:30,14:30,25.9,7/3/25,9:00,14:00
186,809404, 6/26/25 ,LOD   , 6/27/25 ,7670,6/27/25,15:00,20:00,DF3.0 ,7/1/25,7:36,12:36,B,7/2/25,9:30,14:30,25.9,7/3/25,9:00,14:00
187,819144, 6/26/25 ,D45   , 6/27/25 ,7674,6/27/25,15:00,20:00,DF3.0 ,7/1/25,7:39,12:39,C,7/2/25,9:30,14:30,25.9,7/3/25,9:00,14:00
188,676486, 6/26/25 ,WRD   , 6/27/25 ,7687,6/27/25,15:00,20:00,DF3.0 ,7/1/25,7:40,12:40,C,7/2/25,9:30,14:30,25.8,7/3/25,9:00,14:00
189,804980, 7/ 7/25 ,MSD   , 7/ 7/25 ,1687,7/7/25,16:00,21:00,DF3.5,7/8/25,7:54,12:54,B ,7/9/25,9:58,14:58,26.1,7/14/25,9:00,14:00
190,809517, 7/ 4/25 ,LOD   , 7/ 5/25 ,1688,7/7/25,16:00,21:00,DF3.5,7/8/25,8:14,13:14,G ,7/9/25,9:32,14:32,25.3,7/14/25,9:00,14:00
191,682229, 7/ 3/25 ,NOD   , 7/ 4/25 ,1714,7/7/25,16:00,21:00,DF3.5,7/8/25,8:15,13:15,G ,7/9/25,9:31,14:31,25.3,7/14/25,9:00,14:00
192,786817, 7/ 3/25 ,DUB   , 7/ 4/25 ,1728,7/7/25,16:00,21:00,DF3.5,7/8/25,8:10,13:10,F ,7/9/25,9:47,14:47,25.6,7/14/25,9:00,14:00
193,813495, 7/ 6/25 ,SWD   , 7/ 7/25 ,1729,7/7/25,16:00,21:00,DF3.5,7/8/25,7:53,12:53,A ,7/9/25,10:02,15:02,26.2,7/14/25,9:00,14:00
194,804943, 7/ 4/25 ,MSD   , 7/ 5/25 ,1734,7/7/25,16:00,21:00,DF3.5,7/8/25,8:14,13:14,G ,7/9/25,9:48,14:48,25.6,7/14/25,9:00,14:00
195,813492, 7/ 6/25 ,SWD   , 7/ 7/25 ,1741,7/7/25,16:00,21:00,DF3.5,7/8/25,7:53,12:53,A ,7/9/25,10:00,15:00,26.1,7/14/25,9:00,14:00
196,813455, 7/ 4/25 ,SWD   , 7/ 5/25 ,1747,7/7/25,16:00,21:00,DF3.5,7/8/25,8:10,13:10,F ,7/9/25,9:45,14:45,25.6,7/14/25,9:00,14:00
197,804976, 7/ 6/25 ,MSD   , 7/ 7/25 ,1748,7/7/25,16:00,21:00,DF3.5,7/8/25,7:54,12:54,B ,7/9/25,9:59,14:59,26.1,7/14/25,9:00,14:00
198,813452, 7/ 4/25 ,SWD   , 7/ 5/25 ,1754,7/7/25,16:00,21:00,DF3.5,7/8/25,8:11,13:11,F ,7/9/25,9:31,14:31,25.3,7/14/25,9:00,14:00
